Dispositif,Year,SiteName,Valley,Prove,BlockCG,ID,Mother,LU,LC,GS,Elevation
Toulenne,2009,Le_Hourcq,Ossau,O8,1_Toulenne,O8Q7-7 B2,O8fam7,125.5,363,237.5,800
Toulenne,2009,Le_Hourcq,Ossau,O8,1_Toulenne,O8Q7-8 B2,O8fam7,125.5,340.4444444,214.9444444,800
Toulenne,2009,Le_Hourcq,Ossau,O8,1_Toulenne,O8Q7-1 B3,O8fam7,112.5,346.4074074,233.9074074,800
Toulenne,2009,Le_Hourcq,Ossau,O8,1_Toulenne,O8Q7-2 B3,O8fam7,115.5,308.5217391,193.0217391,800
Toulenne,2009,Josbaig,Ossau,O1,1_Toulenne,O1Q28-1 B1,O1fam28,112.5,300,187.5,100
Toulenne,2009,Josbaig,Ossau,O1,1_Toulenne,O1Q28-2 B1,O1fam28,115.5,300,184.5,100
Toulenne,2009,Josbaig,Ossau,O1,1_Toulenne,O1Q28-3 B1,O1fam28,112.5,300,187.5,100
Toulenne,2009,Josbaig,Ossau,O1,1_Toulenne,O1Q28-4 B1,O1fam28,115.5,300,184.5,100
Toulenne,2009,Laveyron,Luz,L1,1_Toulenne,L1Q24-1 B3,L1fam24,112.5,279,166.5,100
Toulenne,2009,Laveyron,Luz,L1,1_Toulenne,L1Q24-2 B3,L1fam24,102,NA,NA,100
Toulenne,2009,Laveyron,Luz,L1,1_Toulenne,L1Q24-4 B3,L1fam24,109,307,198,100
Toulenne,2009,Gabas,Ossau,O12,1_Toulenne,O12Q12-1 B2,O12fam12,115.5,307,191.5,1200
Toulenne,2009,Gabas,Ossau,O12,1_Toulenne,O12Q12-10 B2,O12fam12,115.5,307,191.5,1200
Toulenne,2009,Gabas,Ossau,O12,1_Toulenne,O12Q12-2 B2,O12fam12,115.5,308.1290323,192.6290323,1200
Toulenne,2009,Gabas,Ossau,O12,1_Toulenne,O12Q12-3 B2,O12fam12,118.5,307,188.5,1200
Toulenne,2009,Ibos,Luz,L3,1_Toulenne,L3Q16-1 B1,L3fam16,112.5,307,194.5,300
Toulenne,2009,Ibos,Luz,L3,1_Toulenne,L3Q16-2 B1,L3fam16,112.5,NA,NA,300
Toulenne,2009,Ibos,Luz,L3,1_Toulenne,L3Q16-4 B1,L3fam16,109,279,170,300
Toulenne,2009,Ibos,Luz,L3,1_Toulenne,L3Q19-4 B2,L3fam19,102,NA,NA,300
