Year,Month,Day,Data logger,Date,Toul
2009,1,1,Hobo,2009/1/1,NA
2009,1,2,Hobo,2009/1/2,NA
2009,1,3,Hobo,2009/1/3,NA
2009,1,4,Hobo,2009/1/4,NA
2009,1,5,Hobo,2009/1/5,NA
2009,1,6,Hobo,2009/1/6,NA
2009,1,7,Hobo,2009/1/7,NA
2009,1,8,Hobo,2009/1/8,NA
2009,1,9,Hobo,2009/1/9,NA
2009,1,10,Hobo,2009/1/10,NA
2009,1,11,Hobo,2009/1/11,NA
2009,1,12,Hobo,2009/1/12,NA
2009,1,13,Hobo,2009/1/13,NA
2009,1,14,Hobo,2009/1/14,NA
2009,1,15,Hobo,2009/1/15,NA
2009,1,16,Hobo,2009/1/16,NA
2009,1,17,Hobo,2009/1/17,NA
2009,1,18,Hobo,2009/1/18,NA
2009,1,19,Hobo,2009/1/19,NA
2009,1,20,Hobo,2009/1/20,NA
2009,1,21,Hobo,2009/1/21,NA
2009,1,22,Hobo,2009/1/22,NA
2009,1,23,Hobo,2009/1/23,NA
2009,1,24,Hobo,2009/1/24,NA
2009,1,25,Hobo,2009/1/25,NA
2009,1,26,Hobo,2009/1/26,NA
2009,1,27,Hobo,2009/1/27,NA
2009,1,28,Hobo,2009/1/28,NA
2009,1,29,Hobo,2009/1/29,NA
2009,1,30,Hobo,2009/1/30,NA
2009,1,31,Hobo,2009/1/31,NA
2009,2,1,Hobo,2009/2/1,NA
2009,2,2,Hobo,2009/2/2,NA
2009,2,3,Hobo,2009/2/3,NA
2009,2,4,Hobo,2009/2/4,NA
2009,2,5,Hobo,2009/2/5,NA
2009,2,6,Hobo,2009/2/6,NA
2009,2,7,Hobo,2009/2/7,NA
2009,2,8,Hobo,2009/2/8,NA
2009,2,9,Hobo,2009/2/9,NA
2009,2,10,Hobo,2009/2/10,NA
2009,2,11,Hobo,2009/2/11,NA
2009,2,12,Hobo,2009/2/12,NA
2009,2,13,Hobo,2009/2/13,NA
2009,2,14,Hobo,2009/2/14,NA
2009,2,15,Hobo,2009/2/15,NA
2009,2,16,Hobo,2009/2/16,NA
2009,2,17,Hobo,2009/2/17,NA
2009,2,18,Hobo,2009/2/18,NA
2009,2,19,Hobo,2009/2/19,NA
2009,2,20,Hobo,2009/2/20,NA
2009,2,21,Hobo,2009/2/21,NA
2009,2,22,Hobo,2009/2/22,NA
2009,2,23,Hobo,2009/2/23,NA
2009,2,24,Hobo,2009/2/24,NA
