Dispositif,Year,SiteName,Valley,Prove,ID,LU,LC,GS,Elevation
InSitu,2005,Laveyron,Luz,L1,L1Q9,94.5,317.55,223.05,100
InSitu,2005,Laveyron,Luz,L1,L1Q13,87.17,315.94,228.77,100
InSitu,2005,Laveyron,Luz,L1,L1Q14,NA,314.88,NA,100
InSitu,2005,Laveyron,Luz,L1,L1Q16,94.39,316.28,221.89,100
InSitu,2005,Laveyron,Luz,L1,L1Q17,91.16,317.29,226.13,100
InSitu,2005,Laveyron,Luz,L1,L1Q25,98.97,284,185.03,100
InSitu,2005,Laveyron,Luz,L1,L1Q26,91.34,318.63,227.29,100
InSitu,2005,Laveyron,Luz,L1,L1Q27,96.67,328.5,231.83,100
InSitu,2005,Laveyron,Luz,L1,L1Q44,88,316.46,228.46,100
InSitu,2005,Laveyron,Luz,L1,L1Q50,87.63,310.86,223.23,100
InSitu,2005,Ibos,Luz,L3,L3Q2,91.27,326.21,234.94,300
InSitu,2005,Ibos,Luz,L3,L3Q3,88.72,313.71,224.99,300
InSitu,2005,Ibos,Luz,L3,L3Q7,87.72,328.25,240.53,300
InSitu,2005,Ibos,Luz,L3,L3Q11,88.18,296.73,208.55,300
InSitu,2005,Ibos,Luz,L3,L3Q13,77.95,315.54,237.59,300
InSitu,2005,Ibos,Luz,L3,L3Q16,85.75,320.15,234.4,300
InSitu,2005,Ibos,Luz,L3,L3Q19,87.5,309.7,222.2,300
InSitu,2005,Ibos,Luz,L3,L3Q21,86.77,313.58,226.81,300
InSitu,2005,Ibos,Luz,L3,L3Q49,98.93,325.5,226.57,300
InSitu,2005,Ibos,Luz,L3,L3Q59,99.69,318.57,218.88,300
InSitu,2005,Ade,Luz,L4,L4Q12,92.27,324.13,231.86,400
InSitu,2005,Ade,Luz,L4,L4Q14,88.85,315.39,226.54,400
InSitu,2005,Ade,Luz,L4,L4Q15,92.72,326.93,234.21,400
InSitu,2005,Ade,Luz,L4,L4Q20,91.4,318.13,226.73,400
InSitu,2005,Ade,Luz,L4,L4Q41,108,322.32,214.32,400
InSitu,2005,Ade,Luz,L4,L4Q50,109.03,314.61,205.58,400
InSitu,2005,Ade,Luz,L4,L4Q53,99.8,319.5,219.7,400
InSitu,2005,Ade,Luz,L4,L4Q55,99.71,318.57,218.86,400
InSitu,2005,Ade,Luz,L4,L4Q57,100.43,305.59,205.16,400
InSitu,2005,Ade,Luz,L4,L4Q62,103,320.46,217.46,400
InSitu,2005,Pierrefitte,Luz,L6,L6Q1,117.28,307.52,190.24,600
InSitu,2005,Pierrefitte,Luz,L6,L6Q2,114,309.13,195.13,600
InSitu,2005,Pierrefitte,Luz,L6,L6Q3,116.78,314.61,197.83,600
InSitu,2005,Pierrefitte,Luz,L6,L6Q6,107.4,310.41,203.01,600
InSitu,2005,Pierrefitte,Luz,L6,L6Q7,115.88,322.12,206.24,600
InSitu,2005,Pierrefitte,Luz,L6,L6Q8,114.25,318.08,203.83,600
InSitu,2005,Pierrefitte,Luz,L6,L6Q11,112.53,314.84,202.31,600
InSitu,2005,Pierrefitte,Luz,L6,L6Q13,117.5,331.23,213.73,600
InSitu,2005,Pierrefitte,Luz,L6,L6Q18,117.39,317.58,200.19,600
InSitu,2005,Pierrefitte,Luz,L6,L6Q20,117.04,295.67,178.63,600
InSitu,2005,Papillon,Luz,L8,L8Q2,118.69,291,172.31,800
InSitu,2005,Papillon,Luz,L8,L8Q4,120.51,299.76,179.25,800
InSitu,2005,Papillon,Luz,L8,L8Q9,121.44,296.44,175,800
InSitu,2005,Papillon,Luz,L8,L8Q14,122.61,303.89,181.28,800
InSitu,2005,Papillon,Luz,L8,L8Q20,119.67,293.6,173.93,800
InSitu,2005,Papillon,Luz,L8,L8Q24,119.77,314.84,195.07,800
InSitu,2005,Papillon,Luz,L8,L8Q26,122.05,299.96,177.91,800
InSitu,2005,Papillon,Luz,L8,L8Q32,125.89,303.2,177.31,800
InSitu,2005,Papillon,Luz,L8,L8Q35,124.64,303.91,179.27,800
InSitu,2005,Papillon,Luz,L8,L8Q37,125.06,295.45,170.39,800
InSitu,2005,Bourdalats,Luz,L10,L10Q1,121.71,313.69,191.98,1000
InSitu,2005,Bourdalats,Luz,L10,L10Q3,127.85,287.87,160.02,1000
