ID,Design,Year,LU,Species,Valley,Prove,Elevation,SiteName
O16Qu001,IS,2021,152.6470588,Quercus,Ossau,O16,1600,Artouste
O16Qu016,IS,2021,145.9230769,Quercus,Ossau,O16,1600,Artouste
O16Qu002,IS,2021,145,Quercus,Ossau,O16,1600,Artouste
O16Qu004,IS,2021,144.8983051,Quercus,Ossau,O16,1600,Artouste
O16Qu005,IS,2021,145.3272727,Quercus,Ossau,O16,1600,Artouste
O16Qu010,IS,2021,152.6470588,Quercus,Ossau,O16,1600,Artouste
O16Qu009,IS,2021,144.8983051,Quercus,Ossau,O16,1600,Artouste
O16Qu011,IS,2021,144.3333333,Quercus,Ossau,O16,1600,Artouste
O16Qu008,IS,2021,144.5714286,Quercus,Ossau,O16,1600,Artouste
O16Qu007,IS,2021,145,Quercus,Ossau,O16,1600,Artouste
O4Qu009,IS,2021,92.82758621,Quercus,Ossau,O4,400,BagQu
O4Qu010,IS,2021,92.91525424,Quercus,Ossau,O4,400,BagQu
O4Qu001,IS,2021,93.27272727,Quercus,Ossau,O4,400,BagQu
O4Qu008,IS,2021,92.34782609,Quercus,Ossau,O4,400,BagQu
O4Qu007,IS,2021,92.91525424,Quercus,Ossau,O4,400,BagQu
O4Qu006,IS,2021,93,Quercus,Ossau,O4,400,BagQu
O4Qu005,IS,2021,92.64285714,Quercus,Ossau,O4,400,BagQu
O4Qu004,IS,2021,93,Quercus,Ossau,O4,400,BagQu
O4Qu003,IS,2021,92.91525424,Quercus,Ossau,O4,400,BagQu
O4Qu002,IS,2021,92.23076923,Quercus,Ossau,O4,400,BagQu
O4Qu020,IS,2021,93,Quercus,Ossau,O4,400,BagQu
O4Qu023,IS,2021,95.5,Quercus,Ossau,O4,400,BagQu
O4Qu024,IS,2021,94.42857143,Quercus,Ossau,O4,400,BagQu
O4Qu030,IS,2021,94.25,Quercus,Ossau,O4,400,BagQu
O4Qu013,IS,2021,91.7804878,Quercus,Ossau,O4,400,BagQu
O4Qu016,IS,2021,92.6875,Quercus,Ossau,O4,400,BagQu
O4Fa005,IS,2021,96.88888889,Fagus,Ossau,O4,400,BagQu
