Year,Site,Traitement,Elevation,Species,Provenance,LU,LC,CodeLU,CodeLC,ID,X,Y
2007,Laveyron,Shade,100,Fagus,400,96.33,309.06,1,,L1S1-L4Fa1,1,1
2007,Laveyron,Shade,100,Quercus,400,,318.90,-5,,L1S1-L4Qu1,1,2
2007,Laveyron,Shade,100,Fagus,800,104.69,308.07,1,,L1S1-L8Fa1,1,3
2007,Laveyron,Shade,100,Quercus,800,116.00,,1,0,L1S1-L8Qu1,1,4
2007,Laveyron,Shade,100,Fagus,1200,104.21,,1,,L1S1-L12Fa1,1,5
2007,Laveyron,Shade,100,Fagus,1200,,,,,L1S1-L12Fa1,1,5
2007,Laveyron,Shade,100,Quercus,1200,,273.79,-5,0,L1S1-L12Qu1,1,6
2007,Laveyron,Shade,100,Fagus,400,104.00,312.55,1,,L1S1-L4Fa2,1,7
2007,Laveyron,Shade,100,Quercus,400,120.00,320.53,3,,L1S1-L4Qu2,1,8
2007,Laveyron,Shade,100,Fagus,800,96.33,303.25,1,,L1S1-L8Fa2,1,9
2007,Laveyron,Shade,100,Quercus,800,120.00,,1,,L1S1-L8Qu2,1,10
2007,Laveyron,Shade,100,Fagus,1200,108.00,272.71,6,,L1S1-L12Fa2,1,11
2007,Laveyron,Shade,100,Quercus,1200,120.00,,1,0,L1S1-L12Qu2,1,12
2007,Laveyron,Shade,100,Fagus,400,104.00,301.60,1,,L1S1-L4Fa3,1,13
2007,Laveyron,Shade,100,Quercus,400,120.00,318.67,1,,L1S1-L4Qu3,1,14
2007,Laveyron,Shade,100,Fagus,800,108.00,309.00,1,,L1S1-L8Fa3,1,15
2007,Laveyron,Shade,100,Quercus,800,108.00,312.22,1,,L1S1-L8Qu3,1,16
2007,Laveyron,Shade,100,Fagus,1200,103.46,308.74,1,,L1S1-L12Fa3,1,17
2007,Laveyron,Shade,100,Quercus,1200,,291.89,-9,,L1S1-L12Qu3,1,18
2007,Laveyron,Shade,100,Fagus,400,103.00,309.29,1,,L1S1-L4Fa4,1,19
2007,Laveyron,Shade,100,Quercus,400,104.00,314.00,1,,L1S1-L4Qu4,1,20
2007,Laveyron,Shade,100,Fagus,800,108.00,301.47,1,,L1S1-L8Fa4,1,21
2007,Laveyron,Shade,100,Quercus,800,120.00,,1,,L1S1-L8Qu4,1,22
2007,Laveyron,Shade,100,Quercus,800,,,,,L1S1-L8Qu4,1,22
2007,Laveyron,Shade,100,Fagus,1200,108.00,313.20,1,,L1S1-L12Fa4,1,23
2007,Laveyron,Shade,100,Quercus,1200,,261.52,6,6,L1S1-L12Qu4,1,24
2007,Laveyron,Shade,100,Fagus,400,116.00,309.56,1,,L1S2-L4Fa1,2,1
2007,Laveyron,Shade,100,Quercus,400,104.00,284.00,1,,L1S2-L4Qu1,2,2
2007,Laveyron,Shade,100,Fagus,800,105.33,309.46,1,,L1S2-L8Fa1,2,3
2007,Laveyron,Shade,100,Quercus,800,100.00,321.00,1,,L1S2-L8Qu1,2,4
2007,Laveyron,Shade,100,Fagus,1200,103.00,310.00,1,,L1S2-L12Fa1,2,5
2007,Laveyron,Shade,100,Quercus,1200,104.00,309.56,1,,L1S2-L12Qu1,2,6
2007,Laveyron,Shade,100,Fagus,400,100.00,303.22,1,,L1S2-L4Fa2,2,7
2007,Laveyron,Shade,100,Quercus,400,104.00,318.67,1,,L1S2-L4Qu2,2,8
2007,Laveyron,Shade,100,Fagus,800,100.00,309.92,1,,L1S2-L8Fa2,2,9
2007,Laveyron,Shade,100,Quercus,800,104.00,,1,0,L1S2-L8Qu2,2,10
2007,Laveyron,Shade,100,Fagus,1200,96.33,306.00,1,,L1S2-L12Fa2,2,11
2007,Laveyron,Shade,100,Quercus,1200,100.00,301.33,1,,L1S2-L12Qu2,2,12
2007,Laveyron,Shade,100,Fagus,400,105.33,261.62,6,4,L1S2-L4Fa3,2,13
2007,Laveyron,Shade,100,Quercus,400,100.00,314.00,1,,L1S2-L4Qu3,2,14
2007,Laveyron,Shade,100,Fagus,800,104.00,322.91,1,,L1S2-L8Fa3,2,15
2007,Laveyron,Shade,100,Quercus,800,125.00,333.13,6,2,L1S2-L8Qu3,2,16
2007,Laveyron,Shade,100,Fagus,1200,104.00,291.68,1,,L1S2-L12Fa3,2,17
2007,Laveyron,Shade,100,Quercus,1200,100.00,310.44,1,,L1S2-L12Qu3,2,18
2007,Laveyron,Shade,100,Fagus,400,108.00,277.33,1,,L1S2-L4Fa4,2,19
2007,Laveyron,Shade,100,Quercus,400,104.00,310.59,1,,L1S2-L4Qu4,2,20
2007,Laveyron,Shade,100,Fagus,800,104.00,306.38,1,,L1S2-L8Fa4,2,21
2007,Laveyron,Shade,100,Quercus,800,114.00,,1,,L1S2-L8Qu4,2,22
2007,Laveyron,Shade,100,Quercus,800,,,,,L1S2-L8Qu4,2,22
2007,Laveyron,Shade,100,Fagus,1200,89.00,307.16,1,,L1S2-L12Fa4,2,23
2007,Laveyron,Shade,100,Quercus,1200,117.60,,1,0,L1S2-L12Qu4,2,24
2007,Laveyron,Shade,100,Fagus,400,105.33,309.76,1,,L1S3-L4Fa1,3,1
2007,Laveyron,Shade,100,Quercus,400,106.00,311.33,1,,L1S3-L4Qu1,3,2
2007,Laveyron,Shade,100,Fagus,800,105.33,309.79,1,,L1S3-L8Fa1,3,3
2007,Laveyron,Shade,100,Quercus,800,108.00,328.00,1,,L1S3-L8Qu1,3,4
2007,Laveyron,Shade,100,Fagus,1200,89.00,308.29,1,,L1S3-L12Fa1,3,5
2007,Laveyron,Shade,100,Quercus,1200,105.33,307.33,1,,L1S3-L12Qu1,3,6
2007,Laveyron,Shade,100,Fagus,400,105.33,309.56,1,,L1S3-L4Fa2,3,7
2007,Laveyron,Shade,100,Quercus,400,100.00,310.71,1,,L1S3-L4Qu2,3,8
2007,Laveyron,Shade,100,Fagus,800,96.33,319.76,1,,L1S3-L8Fa2,3,9
2007,Laveyron,Shade,100,Quercus,800,89.00,319.60,1,,L1S3-L8Qu2,3,10
2007,Laveyron,Shade,100,Fagus,1200,96.33,308.44,1,,L1S3-L12Fa2,3,11
2007,Laveyron,Shade,100,Quercus,1200,100.00,318.04,1,,L1S3-L12Qu2,3,12
2007,Laveyron,Shade,100,Fagus,400,105.33,309.00,1,,L1S3-L4Fa3,3,13
2007,Laveyron,Shade,100,Quercus,400,94.50,316.80,1,,L1S3-L4Qu3,3,14
2007,Laveyron,Shade,100,Fagus,800,108.00,308.67,1,,L1S3-L8Fa3,3,15
2007,Laveyron,Shade,100,Quercus,800,105.33,317.11,1,,L1S3-L8Qu3,3,16
2007,Laveyron,Shade,100,Fagus,1200,100.00,264.90,6,,L1S3-L12Fa3,3,17
2007,Laveyron,Shade,100,Quercus,1200,100.00,308.29,1,0,L1S3-L12Qu3,3,18
2007,Laveyron,Shade,100,Fagus,400,100.00,318.00,1,,L1S3-L4Fa4,3,19
2007,Laveyron,Shade,100,Quercus,400,114.00,304.22,1,,L1S3-L4Qu4,3,20
